id,titulo,data,imagem_url,resumo,conteudo
1,II obra ANACLA HISTÓRIA & VIDA,2022-09-08,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,"Na 1ª Bienal do Livro de São José/SC, apresentamos a II Obra inédita da Instituição.","Na 1ª Bienal do Livro de São José/SC, em 08/09/22, apresentamos a Iª Obra inédita e segunda da Instituição, 'ANACLA HISTÓRIA & VIDA'. Esta obra reúne a história e trajetória da Academia."
2,I Bienal do Livro 2022,2022-09-07,imagens/eventos/ID00079-Evento-23-05-23-Online.png,"A ANACLA esteve na Iª Bienal do Livro em São José/SC, sob a direção da D. I. Rosana Dal Molin.","Em 07/09/2022, a ANACLA esteve na Iª Bienal do Livro em São José/SC, apresentando suas obras e atividades culturais."
3,VII Evento Oficial Posse ANACLA JUN/22,2022-06-24,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,"Realizado o evento oficial de posse acadêmica em 24/06/22, no Auditório do TCSC.","O evento oficial de posse acadêmica foi realizado no Auditório do Tribunal de Contas de Santa Catarina, marcando mais uma etapa importante na história da ANACLA."
4,III Mostra de Arte e Literatura,2022-01-01,imagens/eventos/ID00065-Evento-Oficial-24-06-22.png,"Exposição com apresentações artísticas no Espaço Cultural da OAB Subseção-Itajaí/SC.","A D. I. da Sucursal ANACLA- Itajaí/SC, Rosita M. Maia realizou uma exposição com apresentações artísticas no Espaço Cultural da OAB."
5,A Arte Sustentável que Salva a Terra,2022-01-01,imagens/eventos/ID00077-evento-oficial-Marcos-Costa.png,"Exposição de artes organizada pela Sucursal de Balneário Camboriú/SC.","A ANACLA, através da Sucursal de Balneário Camboriú/SC, realizou uma exposição de artes com a organização do D. I. Simone Macedo."
6,I Evento Oficial de Posse,2018-07-20,imagens/eventos/ID00015-Evento-Oficial-20-07-2018.png,"Primeiro Evento Oficial de Posse Acadêmica da ANACLA.","No Tribunal de Contas de Santa Catarina- TCSC, no dia 20 do mês de julho de 2018, realizei o primeiro Evento Oficial de Posse Acadêmica."
